table,rows,size_kb
ad_creatives,4,2.3
ad_events,104,41.8
ad_placements,8,2.8
announcement_tickers,4,2.9
appointment_services,10,2.8
appointments,10,10.8
audit_log,636,337.7
business_settings,102,47.1
campaign_variants,6,2.6
campaigns,11,13.1
city_landing_pages,11,8.6
conversations,6,5.5
coupon_rewards,7,2.9
coupons,7,7.0
credentials,1,0.9
customers,1317,1459.4
drip_sequences,2,1.3
drip_steps,5,2.6
email_delivery_log,20,11.0
email_layouts,3,7.3
email_template_assignments,12,3.3
email_templates,16,28.8
employee_schedules,14,4.5
employees,6,3.5
enrichment_batches,5,1.6
feature_flags,19,8.7
footer_bottom_links,1,0.3
footer_columns,5,3.8
footer_sections,3,1.2
hero_slides,2,1.9
jobs,4,4.5
lifecycle_rules,3,3.0
loyalty_ledger,398,162.6
marketing_consent_log,8,2.5
messages,135,82.7
mobile_zones,2,0.6
order_items,2,1.2
orders,2,2.4
page_content_blocks,38,54.6
page_revisions,15,80.8
page_seo,498,864.7
payments,3000,1194.9
permission_definitions,93,26.4
permissions,382,124.9
print_jobs,15,146.7
product_categories,13,3.7
product_enrichment_drafts,432,819.7
product_images,409,184.1
products,432,1202.4
purchase_order_items,1,0.3
purchase_orders,1,0.4
qbo_sync_log,3000,1870.3
quote_communications,27,9.6
quote_items,30,13.6
quotes,17,13.7
refund_items,20,5.8
refunds,13,5.8
roles,5,1.9
route_access,36,7.3
sale_history,12,9.0
seasonal_themes,4,4.6
service_addon_suggestions,29,11.2
service_categories,6,1.8
service_prerequisites,6,2.8
service_pricing,48,23.5
services,30,37.4
shipping_settings,1,1.5
short_links,121,31.8
site_theme_settings,1,1.7
sms_consent_log,7,2.4
sms_delivery_log,262,124.4
sms_templates,15,18.1
stock_alert_log,541,119.4
team_members,2,1.5
transaction_items,3000,1851.3
transactions,3000,2867.2
vehicle_makes,87,17.7
vehicles,147,85.7
vendors,23,9.2
voice_call_log,4,1.0
website_navigation,18,6.9
website_pages,4,8.8
